rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,gross_tertiary_education_enrollment,population,unemployment_rate,urban_population,created_at
371,Bizarrap,20600000,7657171980.0,Comedy,Bizarrap,83,Argentina,AR,Entertainment,711.0,8.0,193176000.0,48300.0,772700.0,579500.0,9300000.0,200000.0,28.1,44938712.0,9.79,41339571.0,2017-01-15
475,Blippi - Educational Videos for Kids,18100000,14857290259.0,Education,Blippi - Educational Videos for Kids,707,United States,US,Education,224.0,123.0,180412000.0,45100.0,721600.0,541200.0,8700000.0,300000.0,88.2,328239523.0,14.7,270663028.0,2014-01-27
939,Blossom,12700000,4733873025.0,Howto & Style,Blossom,812,United States,US,Howto,1472.0,173.0,43868000.0,11000.0,175500.0,131600.0,2100000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2017-06-01
579,Bollywood Classics,16300000,7141825267.0,Entertainment,Bollywood Classics,1444,India,IN,Music,804.0,93.0,151477000.0,37900.0,605900.0,454400.0,7300000.0,300000.0,94.3,1366417754.0,5.36,471031528.0,2011-10-13
192,Bounce Patrol - Kids Songs,27800000,21037851468.0,Music,Bounce Patrol - Kids Songs,292,Australia,AU,Music,111.0,1.0,127441000.0,31900.0,509800.0,382300.0,6100000.0,480242.9727070416,36.3,25766605.0,5.27,21844756.0,2013-01-01
574,Boyce Avenue,16300000,6578828147.0,Music,Boyce Avenue,490,United States,US,Music,913.0,139.0,28787000.0,7200.0,115100.0,86400.0,1400000.0,267871.4322113453,88.2,328239523.0,14.7,270663028.0,2007-09-02
359,Brave Wilderness,20900000,4927879069.0,Pets & Animals,Brave Wilderness,982,United States,US,Animals,1396.0,100.0,2989000.0,0.0,0.0,0.0,0.0,100000.0,88.2,328239523.0,14.7,270663028.0,2014-09-08
877,Brawl Stars,13200000,2036408398.0,Gaming,Brawl Stars,172,Finland,FI,Games,4846.0,1.0,20369000.0,5100.0,81500.0,61100.0,977700.0,201349.06575611833,51.3,5520314.0,6.59,4716888.0,2017-04-28
204,Brent Rivera,27000000,6570935979.0,Comedy,Brent Rivera,554,United States,US,Entertainment,909.0,60.0,144453000.0,36100.0,577800.0,433400.0,6900000.0,300000.0,88.2,328239523.0,14.7,270663028.0,2009-08-01
413,Britain's Got Talent,19700000,11323617496.0,Entertainment,Britain's Got Talent,4225,United Kingdom,GB,Entertainment,364.0,17.0,54192000.0,13500.0,216800.0,162600.0,2600000.0,100000.0,88.2,66834405.0,3.85,55908316.0,2008-04-12
98,Bruno Mars,36700000,19378155425.0,Music,Bruno Mars,99,United States,US,Music,134.0,30.0,175243000.0,43800.0,701000.0,525700.0,8400000.0,200000.0,88.2,328239523.0,14.7,270663028.0,2006-09-19
400,BuzzFeedVideo,20100000,17913237851.0,People & Blogs,BuzzFeedVideo,7737,United States,US,People,150.0,108.0,9112000.0,2300.0,36400.0,27300.0,437400.0,347747.5331206327,88.2,328239523.0,14.7,270663028.0,2011-08-10
969,CKM,12500000,4465772496.0,Comedy,CKM,117,India,IN,Comedy,1621.0,123.0,13142000.0,3300.0,52600.0,39400.0,630800.0,191353.5061504999,94.3,1366417754.0,5.36,471031528.0,2018-02-20
450,CKN,18700000,12295637162.0,Entertainment,cKn,16,Spain,ES,Music,3188353.0,4093.0,102.0,0.03,0.41,0.31,5.0,1.0,28.1,47076781.0,13.96,37927409.0,2005-09-26
659,CNN,15200000,14198154095.0,News & Politics,CNN,160405,United States,US,News,247.0,148.0,187006000.0,46800.0,748000.0,561000.0,9000000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2005-10-02
129,CVS 3D Rhymes & Kids Songs,33400000,20269857567.0,Education,CVS 3D Rhymes & Kids Songs,338,India,IN,Education,120.0,35.0,136084000.0,34000.0,544300.0,408300.0,6500000.0,200000.0,94.3,1366417754.0,5.36,471031528.0,2008-08-26
624,Caeli YT,15600000,1511794214.0,Entertainment,Caeli YT,483,Mexico,MX,Entertainment,7440.0,24.0,62551000.0,0.0,0.0,0.0,0.0,247109.80957899895,88.2,126014024.0,3.42,102626859.0,2010-09-22
903,Calon Sarjana,13000000,10664585.0,Entertainment,Calon Sarjana,29,Indonesia,ID,Entertainment,772571.0,31.0,2292000000.0,0.0,0.0,0.0,0.0,300000.0,28.1,270203917.0,4.69,151509724.0,2016-01-20
438,Calvin Harris,19000000,16014044618.0,Music,Calvin Harris,79,United Kingdom,GB,Music,191.0,18.0,102410000.0,25600.0,409600.0,307200.0,4900000.0,100000.0,88.2,66834405.0,3.85,55908316.0,2007-02-11
575,Camila Cabello,16300000,6613422635.0,Music,Camila Cabello,80,United States,US,Music,906.0,139.0,42704000.0,10700.0,170800.0,128100.0,2000000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2015-08-11
725,Camila Loures,14700000,4684983333.0,Music,Camila Loures,3978,Brazil,BR,Entertainment,1501.0,39.0,40975000.0,10200.0,163900.0,122900.0,2000000.0,100000.0,88.2,212559417.0,12.08,183241641.0,2014-05-27
